Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
1000,0.01912304,-89.26414595,-40.90601794
1008.682981,0.018238971,-98.46814745,52.01504257
1017.441357,0.018924294,-91.10975414,-110.321303
1026.275781,0.018783763,-84.98992662,-24.67162077
1035.186914,0.019170619,-86.09854817,-104.3371202
1044.175423,0.019261208,-90.1140299,-98.6613453
1053.241978,0.018708237,-96.05481205,-120.5691867
1062.387259,0.018672569,-94.29176028,142.7245274
1071.611947,0.018460462,-91.77024513,-87.94479446
1080.916734,0.019058745,-87.31907465,167.3515798
1090.302314,0.018309661,-89.53557102,-105.6084701
1099.769388,0.018352262,-88.8469805,-78.12724333
1109.318665,0.018622784,-99.66821739,-106.0606826
1118.950858,0.018237335,-87.66752496,-149.0762421
1128.666688,0.019064823,-90.80616937,173.4837616
1138.466879,0.017550001,-98.45114171,44.44558733
1148.352166,0.019278935,-86.42970045,-101.4481546
1158.323286,0.017571173,-91.3222935,178.5335467
1168.380986,0.01844845,-94.505913,179.6301204
1178.526016,0.018401773,-94.50938347,175.3685685
1188.759135,0.01854711,-112.3368386,-142.0838515
1199.081108,0.018510303,-97.41994714,-104.061598
1209.492707,0.018339532,-101.8906682,-78.71507446
1219.99471,0.018326057,-91.47981476,-153.8148785
1230.587901,0.018829594,-88.67314485,-67.03224144
1241.273073,0.018565934,-97.41374532,-77.36051299
1252.051023,0.018740814,-86.98725018,-156.8841447
1262.922559,0.018408632,-96.2722024,153.3536962
1273.888492,0.018388267,-87.20199381,-125.6848699
1284.949642,0.018473524,-92.70211146,-120.875412
1296.106835,0.018677617,-97.96246167,-76.0560306
1307.360907,0.018079631,-94.75434828,-105.252018
1318.712697,0.017538833,-81.89123316,-119.7102317
1330.163055,0.018321855,-89.74608701,-114.4035875
1341.712835,0.018160456,-94.93222531,-148.994647
1353.362903,0.018406371,-85.93413996,-77.03607973
1365.114128,0.018545193,-86.57250162,78.10507013
1376.967388,0.017766034,-97.55356569,140.4673522
1388.92357,0.018420681,-90.74476477,168.9117074
1400.983567,0.018176065,-85.48028744,-140.9908562
1413.148281,0.017536598,-81.90169304,-175.3937128
1425.418621,0.017394245,-89.3000644,-109.2490425
1437.795505,0.018245185,-92.47738602,-91.11906737
1450.279856,0.018338482,-88.36822698,-101.208348
1462.872609,0.018167071,-89.32959049,-85.58978904
1475.574704,0.01777901,-81.96832653,-115.0551877
1488.387092,0.018500274,-90.95066146,-131.5884699
1501.310729,0.017966414,-85.84296111,-85.68557999
1514.346582,0.018131994,-94.05691214,-127.8240856
