Frequency (Hz),Trace |Z| (Ohm)
1000,1573622.183
1047.128548,1502728.328
1096.478196,1435735.007
1148.153621,1371918.411
1202.264435,1309221.586
1258.925412,1251351.856
1318.256739,1195361.638
1380.384265,1141913.07
1445.439771,1090374.524
1513.561248,1041822.692
1584.893192,995194.7504
1659.586907,950692.2964
1737.800829,907834.1315
1819.700859,867066.4118
1905.460718,828327.5157
1995.262315,791136.7572
2089.296131,755534.8619
2187.761624,722000.0264
2290.867653,689744.5357
2398.832919,658784.0794
2511.886432,629350.1989
2630.267992,601095.6364
2754.228703,574380.5576
2884.031503,548520.7433
3019.95172,524109.5325
3162.27766,500857.1668
3311.311215,478523.8557
3467.368505,457232.0494
3630.780548,436765.8902
3801.893963,417309.9303
3981.071706,398856.6753
4168.693835,381192.0058
4365.158322,364295.7029
4570.881896,348164.6112
4786.300923,332592.4591
5011.872336,317902.3239
5248.074602,304127.3491
5495.408739,290673.4602
5754.399373,277967.6353
6025.595861,265810.2621
6309.573445,254215.5941
6606.93448,243058.8466
6918.309709,232548.3973
7244.359601,222500.1594
7585.77575,213004.4362
7943.282347,203790.8857
8317.637711,195111.7309
8709.6359,186831.6858
9120.108394,178969.9266
9549.92586,171472.1114
10000,164326.2328
10471.28548,157517.1966
10964.78196,151011.8351
11481.53621,144897.486
12022.64435,139045.1439
12589.25412,133444.5202
13182.56739,128000.5718
13803.84265,123106.7553
14454.39771,118519.9194
15135.61248,114100.814
15848.93192,109786.3353
16595.86907,105643.4648
17378.00829,101692.1365
18197.00859,98017.56129
19054.60718,94509.20629
19952.62315,91321.37364
20892.96131,88085.11487
21877.61624,85249.25241
22908.67653,82448.30056
23988.32919,79951.63096
25118.86432,77498.44161
26302.67992,75218.26586
27542.28703,73031.36913
28840.31503,70970.63997
30199.5172,69151.62787
31622.7766,67304.5714
33113.11215,65639.52721
34673.68505,64146.70232
36307.80548,62510.78672
38018.93963,61069.47742
39810.71706,59993.70869
41686.93835,58740.28519
43651.58322,57509.09623
45708.81896,55841.12249
47863.00923,55276.07848
50118.72336,54151.08042
52480.74602,53320.54323
54954.08739,52157.93318
57543.99373,50455.60478
60255.95861,50041.29275
63095.73445,49648.40032
66069.3448,47848.63006
69183.09709,47621.34206
72443.59601,47116.53221
75857.7575,45534.32859
79432.82347,44748.68607
83176.37711,44754.6629
87096.359,43494.21441
91201.08394,41965.46383
95499.2586,40494.9524
100000,39425.93851
104712.8548,39730.82423
109647.8196,39451.58277
114815.3621,41574.11243
120226.4435,38065.86256
125892.5412,39481.53515
131825.6739,35135.7934
138038.4265,35295.09508
144543.9771,32012.77711
151356.1248,34334.08707
158489.3192,31896.18544
165958.6907,30174.83043
173780.0829,29753.94246
181970.0859,28619.09077
190546.0718,27603.66566
199526.2315,27168.66205
208929.6131,25774.44373
218776.1624,24925.64057
229086.7653,24258.24434
239883.2919,23150.36626
251188.6432,22218.42046
263026.7992,19078.59471
275422.8703,18936.38091
288403.1503,18372.60133
301995.172,17740.06866
316227.766,16812.94502
331131.1215,15880.09308
346736.8505,13758.51905
363078.0548,14257.07141
380189.3963,13424.21829
398107.1706,12983.08875
416869.3835,12291.20377
436515.8322,11829.64022
457088.1896,11059.78966
478630.0923,9974.214708
501187.2336,9882.350984
524807.4602,8949.59725
549540.8739,8555.055617
575439.9373,7954.352023
602559.5861,7746.297724
630957.3445,7418.02874
660693.448,6892.136425
691830.9709,6552.222983
724435.9601,6124.219574
758577.575,5785.516471
794328.2347,5428.658061
831763.7711,5061.214108
870963.59,4960.049586
912010.8394,4659.085879
954992.586,4449.6229
1000000,4123.446429
