Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
1000,0.016102836,-35.79115752,0.564261308
1008.682981,0.024106783,-35.64154799,0.1456458
1017.441357,0.017560797,-35.3586595,-1.974559097
1026.275781,0.01686509,-35.47512449,0.05641483
1035.186914,0.013115913,-35.3743538,-2.055356099
1044.175423,0.018119368,-35.3388119,-2.879492111
1053.241978,0.038993267,-34.64632321,-1.345447423
1062.387259,0.031549899,-34.15759864,-2.441450405
1071.611947,0.013650594,-34.84393009,-1.613761945
1080.916734,0.029834575,-34.51216637,-2.145159207
1090.302314,0.015605422,-34.06620911,-0.534678855
1099.769388,0.024170807,-34.09872196,0.48014248
1109.318665,0.032794383,-33.69110293,-1.01105165
1118.950858,0.026647127,-34.09353942,-0.181555261
1128.666688,0.016501954,-33.78706713,-0.697430926
1138.466879,0.024980607,-33.46862831,-0.229358587
1148.352166,0.025626185,-33.42249227,1.067159506
1158.323286,0.014097349,-33.40836198,-0.986809754
1168.380986,0.022427457,-33.14067591,-0.489282304
1178.526016,0.018816462,-32.98213053,-0.318403894
1188.759135,0.014866948,-32.86940588,-1.987081641
1199.081108,0.022993574,-32.82939631,-4.219525292
1209.492707,0.028733569,-32.64756452,-1.907022236
1219.99471,0.033937387,-32.37904876,-1.512264239
1230.587901,0.024741741,-32.06136077,-0.756756601
1241.273073,0.006796883,-32.22362174,-1.224535204
1252.051023,0.029124353,-31.89278164,-0.721845342
1262.922559,0.02897845,-31.82045835,-1.967745464
1273.888492,0.025105723,-31.6257408,-0.717496011
1284.949642,0.025610782,-31.73792355,-0.072955044
1296.106835,0.01860528,-31.4469773,-1.200673319
1307.360907,0.008683059,-31.39758207,0.572386833
1318.712697,0.032949616,-31.08042669,-1.100649385
1330.163055,0.027598078,-30.93542835,-1.70149707
1341.712835,0.01764788,-31.00834816,0.437537418
1353.362903,0.022847168,-30.95614017,-2.044196105
1365.114128,0.014699209,-30.57355826,0.280437832
1376.967388,0.016591406,-30.71505699,-0.727726916
1388.92357,0.027462054,-30.1053719,-0.035543419
1400.983567,0.025742169,-30.16563261,-1.078847467
1413.148281,0.023292911,-30.20842419,-3.060768339
1425.418621,0.018795923,-29.89887783,-1.895184358
