Freq.	V(n028)
Step Information: Run=1  (Run: 1/20)
1.00000000000000e+003	(-2.84032995702442e+002dB,7.86045691940959e+001°)
1.02329299228075e+003	(-2.81827438937605e+002dB,7.83449352543065e+001°)
1.04712854805090e+003	(-2.79621619130558e+002dB,7.80790382240881e+001°)
1.07151930523761e+003	(-2.77415523785834e+002dB,7.78067311189468e+001°)
1.09647819614319e+003	(-2.75209139808527e+002dB,7.75278631143605e+001°)
1.12201845430196e+003	(-2.73002453475570e+002dB,7.72422794463533e+001°)
1.14815362149688e+003	(-2.70795450404838e+002dB,7.69498212812158e+001°)
1.17489755493953e+003	(-2.68588115522902e+002dB,7.66503256118797e+001°)
1.20226443461741e+003	(-2.66380433031442e+002dB,7.63436251197425e+001°)
1.23026877081238e+003	(-2.64172386371221e+002dB,7.60295480484524e+001°)
1.25892541179417e+003	(-2.61963958185025e+002dB,7.57079180667449e+001°)
1.28824955169313e+003	(-2.59755130278172e+002dB,7.53785541259505e+001°)
1.31825673855641e+003	(-2.57545883577251e+002dB,7.50412703147785e+001°)
1.34896288259165e+003	(-2.55336198086640e+002dB,7.46958756955964e+001°)
1.38038426460288e+003	(-2.53126052842529e+002dB,7.43421741534063e+001°)
1.41253754462275e+003	(-2.50915425865225e+002dB,7.39799642209162e+001°)
1.44543977074593e+003	(-2.48704294108214e+002dB,7.36090389047842e+001°)
1.47910838816821e+003	(-2.46492633404965e+002dB,7.32291854957075e+001°)
1.51356124843621e+003	(-2.44280418412656e+002dB,7.28401853784910e+001°)
1.54881661891248e+003	(-2.42067622553511e+002dB,7.24418138316373e+001°)
1.58489319246111e+003	(-2.39854217952026e+002dB,7.20338398084318e+001°)
1.62181009735893e+003	(-2.37640175369912e+002dB,7.16160257159060e+001°)
1.65958690743756e+003	(-2.35425464136614e+002dB,7.11881271844290e+001°)
1.69824365246174e+003	(-2.33210052076558e+002dB,7.07498928137105e+001°)
1.73780082874937e+003	(-2.30993905432546e+002dB,7.03010639212215e+001°)
1.77827941003892e+003	(-2.28776988784408e+002dB,6.98413742638857e+001°)
1.81970085860998e+003	(-2.26559264963880e+002dB,6.93705497514071e+001°)
1.86208713666287e+003	(-2.24340694963944e+002dB,6.88883081486889e+001°)
1.90546071796325e+003	(-2.22121237843831e+002dB,6.83943587485039e+001°)
1.94984459975804e+003	(-2.19900850628325e+002dB,6.78884020418909e+001°)
1.99526231496888e+003	(-2.17679488201219e+002dB,6.73701293536366e+001°)
2.04173794466953e+003	(-2.15457103193079e+002dB,6.68392224737780e+001°)
2.08929613085404e+003	(-2.13233645862008e+002dB,6.62953532500988e+001°)
2.13796208950223e+003	(-2.11009063968265e+002dB,6.57381831760191e+001°)
2.18776162394955e+003	(-2.08783302640633e+002dB,6.51673629323205e+001°)
2.23872113856834e+003	(-2.06556304235498e+002dB,6.45825319176116e+001°)
2.29086765276777e+003	(-2.04328008187306e+002dB,6.39833177422046e+001°)
2.34422881531992e+003	(-2.02098350850217e+002dB,6.33693356913989e+001°)
2.39883291901949e+003	(-1.99867265329585e+002dB,6.27401881530329e+001°)
2.45470891568503e+003	(-1.97634681304111e+002dB,6.20954640121123e+001°)
2.51188643150958e+003	(-1.95400524835788e+002dB,6.14347379996516e+001°)
2.57039578276886e+003	(-1.93164718168772e+002dB,6.07575700021087e+001°)
2.63026799189538e+003	(-1.90927179515319e+002dB,6.00635043230817e+001°)
2.69153480392691e+003	(-1.88687822827706e+002dB,5.93520688919003e+001°)
2.75422870333816e+003	(-1.86446557555949e+002dB,5.86227744176408e+001°)
2.81838293126445e+003	(-1.84203288389000e+002dB,5.78751134867559e+001°)
2.88403150312660e+003	(-1.81957914979263e+002dB,5.71085595870775e+001°)
2.95120922666638e+003	(-1.79710331648417e+002dB,5.63225660672962e+001°)
3.01995172040201e+003	(-1.77460427073168e+002dB,5.55165650150322e+001°)
3.09029543251359e+003	(-1.75208083949452e+002dB,5.46899660507680e+001°)
3.16227766016838e+003	(-1.72953178633062e+002dB,5.38421550297236e+001°)
3.23593656929628e+003	(-1.70695580754849e+002dB,5.29724926368402e+001°)
3.31131121482591e+003	(-1.68435152808114e+002dB,5.20803128768320e+001°)
3.38844156139202e+003	(-1.66171749706464e+002dB,5.11649214373713e+001°)
3.46736850452531e+003	(-1.63905218307849e+002dB,5.02255939165685e+001°)
3.54813389233575e+003	(-1.61635396903826e+002dB,4.92615739050115e+001°)
3.63078054770101e+003	(-1.59362114669275e+002dB,4.82720709014534e+001°)
3.71535229097172e+003	(-1.57085191069292e+002dB,4.72562580487334e+001°)
3.80189396320561e+003	(-1.54804435219627e+002dB,4.62132696697443e+001°)
3.89045144994280e+003	(-1.52519645195325e+002dB,4.51421985819039e+001°)
3.98107170553497e+003	(-1.50230607282838e+002dB,4.40420931624914e+001°)
4.07380277804112e+003	(-1.47937095170433e+002dB,4.29119541484631e+001°)
4.16869383470335e+003	(-1.45638869069024e+002dB,4.17507311205161e+001°)
4.26579518801592e+003	(-1.43335674757944e+002dB,4.05573186582926e+001°)
4.36515832240165e+003	(-1.41027242546046e+002dB,3.93305521075035e+001°)
4.46683592150962e+003	(-1.38713286139766e+002dB,3.80692029241731e+001°)
4.57088189614874e+003	(-1.36393501407488e+002dB,3.67719735432349e+001°)
4.67735141287197e+003	(-1.34067565027984e+002dB,3.54374917036655e+001°)
4.78630092322637e+003	(-1.31735133010123e+002dB,3.40643041687331e+001°)
4.89778819368445e+003	(-1.29395839067688e+002dB,3.26508697600431e+001°)
5.01187233627271e+003	(-1.27049292832168e+002dB,3.11955516133466e+001°)
5.12861383991364e+003	(-1.24695077882943e+002dB,2.96966085436692e+001°)
5.24807460249772e+003	(-1.22332749571669e+002dB,2.81521854083669e+001°)
5.37031796370252e+003	(-1.19961832613764e+002dB,2.65603023089140e+001°)
5.49540873857624e+003	(-1.17581818415584e+002dB,2.49188424717020e+001°)
5.62341325190348e+003	(-1.15192162101501e+002dB,2.32255386041897e+001°)
5.75439937337156e+003	(-1.12792279197303e+002dB,2.14779574882374e+001°)
5.88843655355588e+003	(-1.10381541921387e+002dB,1.96734825386607e+001°)
6.02559586074357e+003	(-1.07959275023641e+002dB,1.78092939832262e+001°)
6.16595001861481e+003	(-1.05524751104413e+002dB,1.58823462767766e+001°)
6.30957344480192e+003	(-1.03077185329628e+002dB,1.38893422595162e+001°)
6.45654229034654e+003	(-1.00615729445302e+002dB,1.18267034928708e+001°)
6.60693448007595e+003	(-9.81394649728023e+001dB,9.69053605754804e+000°)
6.76082975391980e+003	(-9.56473954434921e+001dB,7.47659096521827e+000°)
6.91830970918935e+003	(-9.31384375006762e+001dB,5.18021812267618e+000°)
7.07945784384136e+003	(-9.06114106591085e+001dB,2.79631254169755e+000°)
