Freq.	V(n009)/I(C3)
Step Information: Run=1  (Run: 1/20)
1.00000000000000e+003	(1.24039811670920e+002dB,9.15893398665112e+001°)
1.02329299228075e+003	(1.23839972267912e+002dB,9.16263400962548e+001°)
1.04712854805090e+003	(1.23640140427241e+002dB,9.16642007246768e+001°)
1.07151930523761e+003	(1.23440316504696e+002dB,9.17029416896411e+001°)
1.09647819614319e+003	(1.23240500872772e+002dB,9.17425833860437e+001°)
1.12201845430196e+003	(1.23040693921459e+002dB,9.17831466759328e+001°)
1.14815362149688e+003	(1.22840896059050e+002dB,9.18246528988265e+001°)
1.17489755493953e+003	(1.22641107713008e+002dB,9.18671238822309e+001°)
1.20226443461741e+003	(1.22441329330852e+002dB,9.19105819523604e+001°)
1.23026877081238e+003	(1.22241561381101e+002dB,9.19550499450620e+001°)
1.25892541179417e+003	(1.22041804354250e+002dB,9.20005512169448e+001°)
1.28824955169313e+003	(1.21842058763799e+002dB,9.20471096567154e+001°)
1.31825673855641e+003	(1.21642325147325e+002dB,9.20947496967222e+001°)
1.34896288259165e+003	(1.21442604067605e+002dB,9.21434963247074e+001°)
1.38038426460288e+003	(1.21242896113791e+002dB,9.21933750957681e+001°)
1.41253754462275e+003	(1.21043201902638e+002dB,9.22444121445275e+001°)
1.44543977074593e+003	(1.20843522079790e+002dB,9.22966341975150e+001°)
1.47910838816821e+003	(1.20643857321123e+002dB,9.23500685857556e+001°)
1.51356124843621e+003	(1.20444208334155e+002dB,9.24047432575679e+001°)
1.54881661891248e+003	(1.20244575859510e+002dB,9.24606867915694e+001°)
1.58489319246111e+003	(1.20044960672462e+002dB,9.25179284098870e+001°)
1.62181009735893e+003	(1.19845363584542e+002dB,9.25764979915724e+001°)
1.65958690743756e+003	(1.19645785445214e+002dB,9.26364260862176e+001°)
1.69824365246174e+003	(1.19446227143643e+002dB,9.26977439277692e+001°)
1.73780082874937e+003	(1.19246689610525e+002dB,9.27604834485368e+001°)
1.77827941003892e+003	(1.19047173820012e+002dB,9.28246772933917e+001°)
1.81970085860998e+003	(1.18847680791722e+002dB,9.28903588341501e+001°)
1.86208713666287e+003	(1.18648211592837e+002dB,9.29575621841360e+001°)
1.90546071796325e+003	(1.18448767340299e+002dB,9.30263222129156e+001°)
1.94984459975804e+003	(1.18249349203104e+002dB,9.30966745611977e+001°)
1.99526231496888e+003	(1.18049958404699e+002dB,9.31686556558892e+001°)
2.04173794466953e+003	(1.17850596225485e+002dB,9.32423027252977e+001°)
